Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Kyler Murray,27.0,ARI,QB,16.0,16.0,75.0,550.0,5.0,25.0,50.7,50.0,7.3,34.4,4.7,8.0,0.0
Clayton Tune,25.0,ARI,QB,5.0,0.0,6.0,-6.0,0.0,1.0,16.7,2.0,-1.0,-1.2,1.2,1.0,0.0
